지역명,대상,과목,메인키워드,제목,설명,본문,슬러그,위치이미지,대표이미지
미아동,초등학생,국영수,미아동 초등학생 국영수과외,미아동 초등학생 국영수과외 학습 안내,미아동 초등학생을 위한 국어 영어 수학 과외 학습 방향을 안내합니다.,"미아동 초등학생의 국어, 영어, 수학 기초를 함께 살피는 수업입니다. 읽기 습관과 어휘 이해를 다지고, 영어 문장 구조와 수학 연산 과정을 차근차근 확인합니다. 세 과목의 학습 균형을 고려해 주간 계획을 세우고 학교 진도에 맞춰 복습합니다.",미아동초등학생국영수과외,미아동.webp,미아동초등학생국영수과외.webp
미아동,초등학생,수학,미아동 초등학생 수학과외,미아동 초등학생 수학과외 기초 학습,미아동 초등학생의 연산과 개념 이해를 돕는 수학 과외 안내입니다.,"미아동 초등학생이 연산 원리를 이해하고 풀이 과정을 말로 설명하도록 돕습니다. 교과서 개념을 짧게 확인한 뒤 유형 문제를 풀며 실수를 기록합니다. 학습 속도에 맞춘 반복으로 계산 정확도와 문제 해결 자신감을 함께 키웁니다.",미아동초등학생수학과외,미아동.webp,미아동초등학생수학과외.webp
미아동,초등학생,영어,미아동 초등학생 영어과외,미아동 초등학생 영어과외 읽기 학습,미아동 초등학생을 위한 영어 읽기와 어휘 학습 방법을 소개합니다.,"미아동 초등학생이 소리와 철자의 관계를 익히고 짧은 문장을 자연스럽게 읽도록 지도합니다. 매주 핵심 어휘를 문장 안에서 연습하고 간단한 질문에 영어로 답해 봅니다. 읽기 기록을 활용해 이해도와 학습 흐름을 꾸준히 점검합니다.",미아동초등학생영어과외,미아동.webp,미아동초등학생영어과외.webp
수유동,중학생,수학,수유동 중학생 수학과외,수유동 중학생 수학과외 내신 대비,수유동 중학생의 개념 정리와 내신 대비를 위한 수학 과외 안내입니다.,"수유동 중학생의 학교 진도에 맞춰 개념과 공식을 연결하고 문제 풀이 근거를 정리합니다. 오답은 계산, 개념, 조건 해석으로 나누어 원인을 찾습니다. 시험 전에는 단원별 취약 유형을 다시 풀어 시간 관리와 정확성을 점검합니다.",수유동중학생수학과외,수유동.webp,수유동중학생수학과외.webp
수유동,중학생,영어,수유동 중학생 영어과외,수유동 중학생 영어과외 문법 독해,수유동 중학생의 문법과 독해 실력을 함께 높이는 영어 과외 안내입니다.,"수유동 중학생이 교과서 핵심 문법을 예문으로 익히고 지문에서 직접 찾아보도록 수업합니다. 문단의 중심 내용을 요약하며 독해 순서를 훈련합니다. 단어 시험과 짧은 서술형 연습을 병행해 학교 평가에 대비합니다.",수유동중학생영어과외,수유동.webp,수유동중학생영어과외.webp
길음동,고등학생,수학,길음동 고등학생 수학과외,길음동 고등학생 수학과외 개념 심화,길음동 고등학생의 수학 개념 심화와 문제 해결을 위한 과외 안내입니다.,"길음동 고등학생의 현재 성취도를 진단한 뒤 단원별 개념 연결을 우선 정리합니다. 풀이를 암기하기보다 조건에서 필요한 식을 세우는 과정을 반복합니다. 내신 기출과 유사 문제를 활용해 서술 과정과 제한 시간 대응을 함께 연습합니다.",길음동고등학생수학과외,길음동.webp,길음동고등학생수학과외.webp
길음동,고등학생,영어,길음동 고등학생 영어과외,길음동 고등학생 영어과외 독해 전략,길음동 고등학생의 어휘와 구문 독해를 강화하는 영어 과외 안내입니다.,"길음동 고등학생이 긴 문장의 구조를 구분하고 핵심 내용을 빠르게 찾도록 훈련합니다. 지문별 필수 어휘와 연결 표현을 정리하며 오답 근거를 확인합니다. 학교 시험 범위에 맞춰 변형 문제와 서술형 문장을 준비합니다.",길음동고등학생영어과외,길음동.webp,길음동고등학생영어과외.webp
번동,초등학생,국영수,번동 초등학생 국영수과외,번동 초등학생 국영수과외 학습 습관,번동 초등학생의 국어 영어 수학 학습 습관을 위한 과외 안내입니다.,"번동 초등학생이 정해진 시간에 스스로 학습을 시작하도록 짧고 분명한 계획을 세웁니다. 국어 독해, 영어 어휘, 수학 연산을 고르게 배치하고 완료 여부를 확인합니다. 매주 성취 내용을 돌아보며 다음 학습량을 알맞게 조절합니다.",번동초등학생국영수과외,번동.webp,번동초등학생국영수과외.webp
정릉동,중학생,국영수,정릉동 중학생 국영수과외,정릉동 중학생 국영수과외 내신 관리,정릉동 중학생의 국어 영어 수학 내신 관리를 위한 과외 안내입니다.,"정릉동 중학생의 과목별 학습 상태를 확인하고 시험 일정에 맞춘 계획을 구성합니다. 국어는 지문 근거, 영어는 어휘와 문법, 수학은 개념과 오답을 중심으로 관리합니다. 주간 점검을 통해 밀린 범위를 조정하고 복습 시간을 확보합니다.",정릉동중학생국영수과외,정릉동.webp,정릉동중학생국영수과외.webp
장위동,고등학생,국영수,장위동 고등학생 국영수과외,장위동 고등학생 국영수과외 학습 계획,장위동 고등학생의 국어 영어 수학 학습 계획과 과목별 점검을 안내합니다.,"장위동 고등학생의 목표와 시험 범위를 기준으로 국어, 영어, 수학의 우선순위를 정합니다. 과목별 취약 단원을 기록하고 하루 학습량을 현실적으로 배분합니다. 정기 점검에서 문제 풀이 결과를 분석해 다음 계획에 반영합니다.",장위동고등학생국영수과외,장위동.webp,장위동고등학생국영수과외.webp
