page_type,지역명,학교명,학교급,학년표현,과목표현,내신사용,display_keyword,compact_keyword,slug,title,title_core_terms,body_core_terms,description_core_terms,is_valid,validation_note
region,신동,,,,,false,신동과외,신동과외,신동과외,신동과외 주간 계획과 실천 결과를 비교하는 주간 학습 흐름을 확인합니다 학습 방향을 함께 살펴봅니다,신동|과외,신동|과외,신동|과외,true,정상
region,장상동,,,,영어,false,장상동 영어과외,장상동영어과외,장상동영어과외,장상동 영어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,장상동|영어|과외,장상동|영어|과외,장상동|영어|과외,true,정상
region,반지동,,,,수학,false,반지동 수학과외,반지동수학과외,반지동수학과외,반지동 수학과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,반지동|수학|과외,반지동|수학|과외,반지동|수학|과외,true,정상
region,흥덕동,,,,과학,false,흥덕동 과학과외,흥덕동과학과외,흥덕동과학과외,흥덕동 과학과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,흥덕동|과학|과외,흥덕동|과학|과외,흥덕동|과학|과외,true,정상
region,서봉동,,,,국어,false,서봉동 국어과외,서봉동국어과외,서봉동국어과외,서봉동 국어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서봉동|국어|과외,서봉동|국어|과외,서봉동|국어|과외,true,정상
region,월성동,,,,영수,false,월성동 영수과외,월성동영수과외,월성동영수과외,월성동 영수과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,월성동|영수|과외,월성동|영수|과외,월성동|영수|과외,true,정상
region,서구,,,초등,,false,서구 초등과외,서구초등과외,서구초등과외,서구 초등과외 시험 대비 흐름을 점검합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서구|초등|과외,서구|초등|과외,서구|초등|과외,true,정상
region,연제구,,,초등학생,,false,연제구 초등학생과외,연제구초등학생과외,연제구초등학생과외,연제구 초등학생과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,연제구|초등학생|과외,연제구|초등학생|과외,연제구|초등학생|과외,true,정상
region,신당동,,,중등,,false,신당동 중등과외,신당동중등과외,신당동중등과외,신당동 중등과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,신당동|중등|과외,신당동|중등|과외,신당동|중등|과외,true,정상
region,세종특별자치시,,,중학생,,false,세종특별자치시 중학생과외,세종특별자치시중학생과외,세종특별자치시중학생과외,세종특별자치시 중학생과외 복습 주기와 학습량을 함께 조절하는 학습 기록을 활용하는 방법을 정리합니다,세종특별자치시|중학생|과외,세종특별자치시|중학생|과외,세종특별자치시|중학생|과외,true,정상
region,성안동,,,고등,,false,성안동 고등과외,성안동고등과외,성안동고등과외,성안동 고등과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,성안동|고등|과외,성안동|고등|과외,성안동|고등|과외,true,정상
region,계양구,,,고등학생,,false,계양구 고등학생과외,계양구고등학생과외,계양구고등학생과외,계양구 고등학생과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,계양구|고등학생|과외,계양구|고등학생|과외,계양구|고등학생|과외,true,정상
region,여서동,,,초등,영어,false,여서동 초등 영어과외,여서동초등영어과외,여서동초등영어과외,여서동 초등 영어과외 과목별 공부 순서를 균형 있게 살펴보는 취약 부분을 보완하는 흐름을 알아봅니다,여서동|초등|영어|과외,여서동|초등|영어|과외,여서동|초등|영어|과외,true,정상
region,수송동,,,초등,수학,false,수송동 초등 수학과외,수송동초등수학과외,수송동초등수학과외,수송동 초등 수학과외 서술 과정과 답의 근거를 함께 점검하는 취약 부분을 보완하는 흐름을 알아봅니다,수송동|초등|수학|과외,수송동|초등|수학|과외,수송동|초등|수학|과외,true,정상
region,용담삼동,,,초등,과학,false,용담삼동 초등 과학과외,용담삼동초등과학과외,용담삼동초등과학과외,용담삼동 초등 과학과외 스스로 공부하는 기준을 조금씩 세우는 취약 부분을 보완하는 흐름을 알아봅니다,용담삼동|초등|과학|과외,용담삼동|초등|과학|과외,용담삼동|초등|과학|과외,true,정상
region,청동,,,초등,국어,false,청동 초등 국어과외,청동초등국어과외,청동초등국어과외,청동 초등 국어과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,청동|초등|국어|과외,청동|초등|국어|과외,청동|초등|국어|과외,true,정상
region,단양군평동,,,초등,영수,false,단양군평동 초등 영수과외,단양군평동초등영수과외,단양군평동초등영수과외,단양군평동 초등 영수과외 복습 주기와 학습량을 함께 조절하는 학습 기록을 활용하는 방법을 정리합니다,단양군평동|초등|영수|과외,단양군평동|초등|영수|과외,단양군평동|초등|영수|과외,true,정상
region,황지동,,,초등학생,영어,false,황지동 초등학생 영어과외,황지동초등학생영어과외,황지동초등학생영어과외,황지동 초등학생 영어과외 어휘 복습과 독해 문제 접근 기준을 살펴봅니다 학습 방향을 함께 살펴봅니다,황지동|초등학생|영어|과외,황지동|초등학생|영어|과외,황지동|초등학생|영어|과외,true,정상
region,상현동,,,초등학생,수학,false,상현동 초등학생 수학과외,상현동초등학생수학과외,상현동초등학생수학과외,상현동 초등학생 수학과외 집중 시간과 공부 분량을 알맞게 나누는 교과 진도에 맞는 계획을 알아봅니다,상현동|초등학생|수학|과외,상현동|초등학생|수학|과외,상현동|초등학생|수학|과외,true,정상
region,신촌동,,,초등학생,과학,false,신촌동 초등학생 과학과외,신촌동초등학생과학과외,신촌동초등학생과학과외,신촌동 초등학생 과학과외 개념 이해와 탐구 자료 해석 방향을 정리합니다 학습 방향을 함께 살펴봅니다,신촌동|초등학생|과학|과외,신촌동|초등학생|과학|과외,신촌동|초등학생|과학|과외,true,정상
region,교동,,,초등학생,국어,false,교동 초등학생 국어과외,교동초등학생국어과외,교동초등학생국어과외,교동 초등학생 국어과외 지문 이해와 답의 근거를 찾는 과정을 살펴봅니다 학습 방향을 함께 살펴봅니다,교동|초등학생|국어|과외,교동|초등학생|국어|과외,교동|초등학생|국어|과외,true,정상
region,운수동,,,초등학생,영수,false,운수동 초등학생 영수과외,운수동초등학생영수과외,운수동초등학생영수과외,운수동 초등학생 영수과외 서술 과정과 답의 근거를 함께 점검하는 교과 진도에 맞는 계획을 알아봅니다,운수동|초등학생|영수|과외,운수동|초등학생|영수|과외,운수동|초등학생|영수|과외,true,정상
region,신서동,,,중등,영어,false,신서동 중등 영어과외,신서동중등영어과외,신서동중등영어과외,신서동 중등 영어과외 단기 목표와 누적 복습을 함께 배치하는 취약 부분을 보완하는 흐름을 알아봅니다,신서동|중등|영어|과외,신서동|중등|영어|과외,신서동|중등|영어|과외,true,정상
region,유성구,,,중등,수학,false,유성구 중등 수학과외,유성구중등수학과외,유성구중등수학과외,유성구 중등 수학과외 집중 시간과 공부 분량을 알맞게 나누는 학습 기록을 활용하는 방법을 정리합니다,유성구|중등|수학|과외,유성구|중등|수학|과외,유성구|중등|수학|과외,true,정상
region,강서구,,,중등,과학,false,강서구 중등 과학과외,강서구중등과학과외,강서구중등과학과외,강서구 중등 과학과외 교과 내용을 자신의 말로 설명해 보는 학습 기록을 활용하는 방법을 정리합니다,강서구|중등|과학|과외,강서구|중등|과학|과외,강서구|중등|과학|과외,true,정상
region,보광동,,,중등,국어,false,보광동 중등 국어과외,보광동중등국어과외,보광동중등국어과외,보광동 중등 국어과외 국어 독해와 서술형 답안의 학습 방향을 정리합니다 시험 준비을 함께 살펴봅니다,보광동|중등|국어|과외,보광동|중등|국어|과외,보광동|중등|국어|과외,true,정상
region,도담동,,,중등,영수,false,도담동 중등 영수과외,도담동중등영수과외,도담동중등영수과외,도담동 중등 영수과외 풀이 근거와 판단 순서를 꼼꼼히 살피는 취약 부분을 보완하는 흐름을 알아봅니다,도담동|중등|영수|과외,도담동|중등|영수|과외,도담동|중등|영수|과외,true,정상
region,유곡동,,,중학생,영어,false,유곡동 중학생 영어과외,유곡동중학생영어과외,유곡동중학생영어과외,유곡동 중학생 영어과외 영어 독해와 문장 해석의 학습 방향을 정리합니다 시험 준비을 함께 살펴봅니다,유곡동|중학생|영어|과외,유곡동|중학생|영어|과외,유곡동|중학생|영어|과외,true,정상
region,신현동,,,중학생,수학,false,신현동 중학생 수학과외,신현동중학생수학과외,신현동중학생수학과외,신현동 중학생 수학과외 계산 과정과 오답 관리의 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다,신현동|중학생|수학|과외,신현동|중학생|수학|과외,신현동|중학생|수학|과외,true,정상
region,나주시,,,중학생,과학,false,나주시 중학생 과학과외,나주시중학생과학과외,나주시중학생과학과외,나주시 중학생 과학과외 시험 준비 방향을 구체적으로 정리하는 학습 기록을 활용하는 방법을 정리합니다,나주시|중학생|과학|과외,나주시|중학생|과학|과외,나주시|중학생|과학|과외,true,정상
region,완주군,,,중학생,국어,false,완주군 중학생 국어과외,완주군중학생국어과외,완주군중학생국어과외,완주군 중학생 국어과외 지문 이해와 답의 근거를 찾는 과정을 살펴봅니다 학습 방향을 함께 살펴봅니다,완주군|중학생|국어|과외,완주군|중학생|국어|과외,완주군|중학생|국어|과외,true,정상
region,아라일동,,,중학생,영수,false,아라일동 중학생 영수과외,아라일동중학생영수과외,아라일동중학생영수과외,아라일동 중학생 영수과외 교과 진도와 취약 부분을 함께 확인하는 매일 실천할 공부 기준을 안내합니다,아라일동|중학생|영수|과외,아라일동|중학생|영수|과외,아라일동|중학생|영수|과외,true,정상
region,동대동,,,고등,영어,false,동대동 고등 영어과외,동대동고등영어과외,동대동고등영어과외,동대동 고등 영어과외 집중 시간과 공부 분량을 알맞게 나누는 학습 기록을 활용하는 방법을 정리합니다,동대동|고등|영어|과외,동대동|고등|영어|과외,동대동|고등|영어|과외,true,정상
region,봉명동,,,고등,수학,false,봉명동 고등 수학과외,봉명동고등수학과외,봉명동고등수학과외,봉명동 고등 수학과외 교과 진도와 취약 부분을 함께 확인하는 학습 기록을 활용하는 방법을 정리합니다,봉명동|고등|수학|과외,봉명동|고등|수학|과외,봉명동|고등|수학|과외,true,정상
region,옥천동,,,고등,과학,false,옥천동 고등 과학과외,옥천동고등과학과외,옥천동고등과학과외,옥천동 고등 과학과외 서술 과정과 답의 근거를 함께 점검하는 학습 기록을 활용하는 방법을 정리합니다,옥천동|고등|과학|과외,옥천동|고등|과학|과외,옥천동|고등|과학|과외,true,정상
region,야동동,,,고등,국어,false,야동동 고등 국어과외,야동동고등국어과외,야동동고등국어과외,야동동 고등 국어과외 국어 독해와 서술형 답안의 학습 방향을 정리합니다 시험 준비을 함께 살펴봅니다,야동동|고등|국어|과외,야동동|고등|국어|과외,야동동|고등|국어|과외,true,정상
region,해운동,,,고등,영수,false,해운동 고등 영수과외,해운동고등영수과외,해운동고등영수과외,해운동 고등 영수과외 교과 진도와 취약 부분을 함께 확인하는 취약 부분을 보완하는 흐름을 알아봅니다,해운동|고등|영수|과외,해운동|고등|영수|과외,해운동|고등|영수|과외,true,정상
region,우현동,,,고등학생,영어,false,우현동 고등학생 영어과외,우현동고등학생영어과외,우현동고등학생영어과외,우현동 고등학생 영어과외 어휘 복습과 독해 문제 접근 기준을 살펴봅니다 학습 방향을 함께 살펴봅니다,우현동|고등학생|영어|과외,우현동|고등학생|영어|과외,우현동|고등학생|영어|과외,true,정상
region,용두동,,,고등학생,수학,false,용두동 고등학생 수학과외,용두동고등학생수학과외,용두동고등학생수학과외,용두동 고등학생 수학과외 교과 진도와 취약 부분을 함께 확인하는 교과 진도에 맞는 계획을 알아봅니다,용두동|고등학생|수학|과외,용두동|고등학생|수학|과외,용두동|고등학생|수학|과외,true,정상
region,수성구,,,고등학생,과학,false,수성구 고등학생 과학과외,수성구고등학생과학과외,수성구고등학생과학과외,수성구 고등학생 과학과외 교과 진도와 취약 부분을 함께 확인하는 매일 실천할 공부 기준을 안내합니다,수성구|고등학생|과학|과외,수성구|고등학생|과학|과외,수성구|고등학생|과학|과외,true,정상
region,부사동,,,고등학생,국어,false,부사동 고등학생 국어과외,부사동고등학생국어과외,부사동고등학생국어과외,부사동 고등학생 국어과외 이해와 적용의 순서를 분명하게 잡는 학습 기록을 활용하는 방법을 정리합니다,부사동|고등학생|국어|과외,부사동|고등학생|국어|과외,부사동|고등학생|국어|과외,true,정상
region,구서동,,,고등학생,영수,false,구서동 고등학생 영수과외,구서동고등학생영수과외,구서동고등학생영수과외,구서동 고등학생 영수과외 서술 과정과 답의 근거를 함께 점검하는 매일 실천할 공부 기준을 안내합니다,구서동|고등학생|영수|과외,구서동|고등학생|영수|과외,구서동|고등학생|영수|과외,true,정상
region,논현동,,,,,true,논현동 내신과외,논현동내신과외,논현동내신과외,논현동 내신과외 교과서와 수행평가를 연결한 내신 준비 흐름을 점검합니다 학습 방향을 함께 살펴봅니다,논현동|내신|과외,논현동|내신|과외,논현동|내신|과외,true,정상
