content_mode,page_type,시도,시군구,읍면동,리,지역명,학교명,학교급,학년표현,과목표현,내신사용,대상,과목,메인키워드,슬러그,제목,설명,본문,body_sentence_ids,description_sentence_ids,used_sentence_pools,title_pattern_id,title_modifier,title_ending,combination_type,title_core_terms,title_retry_count
keyword_combination,region,강원특별자치도,정선군,신동,,신동,,,,,false,고등학생,국영수과외,신동과외,신동과외,신동과외 주간 계획과 실천 결과를 비교하는 주간 학습 흐름을 확인합니다 학습 방향을 함께 살펴봅니다,신동과외를 살펴볼 때에는 학습 계획은 모르는 부분을 질문으로 바꾸고 기록을 남기면 다음 계획의 기준이 분명해집니다. 학습 계획은 모르는 부분을 질문으로 바꾸고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 복습 과정은 풀이 과정의 근거를 확인하고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,신동과외를 알아볼 때에는 효율적인 공부 흐름을 만들려면 과목별 습관과 오답의 원인을 살피고 점검 기준을 세우는 데 있습니다. 복습을 진행할 때는 집중이 유지되는 시간을 기준으로 쉬는 때를 정하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 학습 습관을 만들 때는 현재 가능한 분량부터 정하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 복습을 진행할 때는 질문의 핵심을 한 문장으로 적고 다음 공부에 반영하는 과정이 필요합니다. 학습 습관을 만들 때는 배운 내용을 자신의 말로 설명하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 복습을 진행할 때는 질문의 핵심을 한 문장으로 적고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 정리한 학습 기준을 완료한 뒤 이유까지 돌아보면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_023|body_general_078|body_general_003|body_general_086|body_general_018|body_general_089|ending_009,description_general_025|description_general_022|description_general_053|description_general_074,body_general|description_general|endings|openings,title_pattern_029,주간 계획과 실천 결과를 비교하는,주간 학습 흐름을 확인합니다,base,신동|과외,0
keyword_combination,region,경기도,안산시,장상동,,장상동,,,,영어,false,중학생,영어,장상동 영어과외,장상동영어과외,장상동 영어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,장상동 영어과외를 살펴볼 때에는 학습 계획은 주간 목표와 실제 결과를 비교하고 다음 단계로 연결하는 방식이 좋습니다. 복습 과정은 현재 이해한 범위를 먼저 확인하고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 기록을 남기면 다음 계획의 기준이 분명해집니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,장상동 영어과외를 알아볼 때에는 목표에 맞는 학습을 준비하려면 실천할 수 있는 분량과 순서를 정하고 점검 기준을 세우는 데 있습니다. 오답을 관리할 때는 이해한 내용과 어려운 내용을 구분하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 오답을 관리할 때는 실수의 원인을 유형별로 나누고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 영어 어휘를 익힐 때는 주어와 동사의 관계를 먼저 확인하고 읽은 내용을 한 문장으로 요약하는 연습이 유용합니다. 학습 습관을 만들 때는 배운 내용을 자신의 말로 설명하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 복습을 진행할 때는 계획과 실제 수행량의 차이를 확인하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 이와 같은 과정을 다음 계획에 구체적으로 반영하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_037|body_general_110|body_general_125|body_english_007|body_general_018|body_general_085|ending_002,description_general_036|description_general_043|description_general_053|description_general_055,body_english|body_general|description_general|endings|openings,title_pattern_013,기초부터 차근차근 점검하는,과목별 접근법을 안내합니다,subject_only,장상동|영어|과외,0
keyword_combination,region,경상남도,창원시,반지동,,반지동,,,,수학,false,중학생,수학,반지동 수학과외,반지동수학과외,반지동 수학과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,반지동 수학과외를 살펴볼 때에는 복습 과정은 풀이 과정의 근거를 확인하고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 복습 과정은 공부한 내용을 기억에서 꺼내 보고 기록을 남기면 다음 계획의 기준이 분명해집니다. 복습 과정은 주간 목표와 실제 결과를 비교하고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 학습 계획은 풀이 과정의 근거를 확인하고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,반지동 수학과외를 알아볼 때에는 꾸준한 학습을 위해서는 현재 알고 있는 내용과 어려운 부분을 구분하고 점검 기준을 세우는 데 있습니다. 오답을 관리할 때는 짧은 목표를 세운 뒤 결과를 기록하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 오답을 관리할 때는 실수의 원인을 유형별로 나누고 다음 공부에 반영하는 과정이 필요합니다. 수학 응용 문제를 풀 때는 정의와 조건을 먼저 확인하고 조건이 달라졌을 때의 변화를 살펴보면 응용력이 자랍니다. 복습을 진행할 때는 짧은 목표를 세운 뒤 결과를 기록하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 오답을 관리할 때는 질문의 핵심을 한 문장으로 적고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 스스로 세운 계획을 현재 수준에 맞게 조금씩 조정하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_006|body_general_115|body_general_121|body_math_052|body_general_065|body_general_139|ending_016,description_general_073|description_general_060|description_general_078|description_general_034,body_general|body_math|description_general|endings|openings,title_pattern_031,풀이 근거와 판단 순서를 꼼꼼히 살피는,과목별 접근법을 안내합니다,subject_only,반지동|수학|과외,0
keyword_combination,region,경상북도,문경시,흥덕동,,흥덕동,,,,과학,false,고등학생,과학,흥덕동 과학과외,흥덕동과학과외,흥덕동 과학과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,흥덕동 과학과외를 살펴볼 때에는 복습 과정은 주간 목표와 실제 결과를 비교하고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 학습 계획은 모르는 부분을 질문으로 바꾸고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습 계획은 틀린 이유를 짧게 설명해 보고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 기록을 남기면 다음 계획의 기준이 분명해집니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,흥덕동 과학과외를 알아볼 때에는 현재의 학습 상태를 이해하려면 현재 알고 있는 내용과 어려운 부분을 구분하고 점검 기준을 세우는 데 있습니다. 학습 습관을 만들 때는 계획과 실제 수행량의 차이를 확인하고 다음 공부에 반영하는 과정이 필요합니다. 복습을 진행할 때는 현재 가능한 분량부터 정하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 과학 탐구 과정을 살펴볼 때는 자료에서 근거가 되는 수치를 찾고 근거를 문장으로 정리하는 연습이 유용합니다. 오답을 관리할 때는 문제의 조건과 요구 사항을 구분하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 학습 습관을 만들 때는 짧은 목표를 세운 뒤 결과를 기록하고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 과목별로 남긴 기록을 정해진 주기로 다시 살펴보면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_011|body_general_031|body_general_052|body_science_071|body_general_147|body_general_014|ending_023,description_general_078|description_general_024|description_general_012|description_general_055,body_general|body_science|description_general|endings|openings,title_pattern_005,과목 특성에 맞는 복습 방법을 찾는,과목별 접근법을 안내합니다,subject_only,흥덕동|과학|과외,0
keyword_combination,region,광주광역시,광산구,서봉동,,서봉동,,,,국어,false,중학생,국어,서봉동 국어과외,서봉동국어과외,서봉동 국어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서봉동 국어과외를 살펴볼 때에는 복습 과정은 풀이 과정의 근거를 확인하고 기록을 남기면 다음 계획의 기준이 분명해집니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습 계획은 현재 이해한 범위를 먼저 확인하고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 기록을 남기면 다음 계획의 기준이 분명해집니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,서봉동 국어과외를 알아볼 때에는 매일의 학습을 안정적으로 이어가려면 과목별 습관과 오답의 원인을 살피고 점검 기준을 세우는 데 있습니다. 복습을 진행할 때는 배운 내용을 자신의 말로 설명하고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 복습을 진행할 때는 집중이 유지되는 시간을 기준으로 쉬는 때를 정하고 다음 공부에 반영하는 과정이 필요합니다. 국어 독해에서는 화자의 태도와 표현 효과를 구분하고 오답 선택지가 틀린 이유까지 살피면 판단 기준이 생깁니다. 학습 습관을 만들 때는 문제의 조건과 요구 사항을 구분하고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 복습을 진행할 때는 배운 내용을 자신의 말로 설명하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 반복해서 익힌 습관을 완료한 뒤 이유까지 돌아보면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_028|body_general_069|body_general_076|body_korean_012|body_general_049|body_general_067|ending_029,description_general_075|description_general_054|description_general_002|description_general_055,body_general|body_korean|description_general|endings|openings,title_pattern_004,오답 관리까지 자연스럽게 연결하는,과목별 접근법을 안내합니다,subject_only,서봉동|국어|과외,0
keyword_combination,region,대구광역시,달서구,월성동,,월성동,,,,영수,false,고등학생,영수,월성동 영수과외,월성동영수과외,월성동 영수과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,월성동 영수과외를 살펴볼 때에는 학습 계획은 틀린 이유를 짧게 설명해 보고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 학습 계획은 공부한 내용을 기억에서 꺼내 보고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 공부한 내용을 기억에서 꺼내 보고 다음 단계로 연결하는 방식이 좋습니다. 학습 계획은 현재 이해한 범위를 먼저 확인하고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,월성동 영수과외를 알아볼 때에는 과외 학습의 방향을 세울 때는 과목별 습관과 오답의 원인을 살피고 점검 기준을 세우는 데 있습니다. 복습을 진행할 때는 문제의 조건과 요구 사항을 구분하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 학습 습관을 만들 때는 중요한 개념을 서로 연결하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 영수 학습 계획을 세울 때는 영어의 읽기 분량과 수학의 풀이 분량을 따로 정하고 두 과목의 학습 흐름을 안정적으로 이어갈 수 있습니다. 복습을 진행할 때는 실수의 원인을 유형별로 나누고 다음 공부에 반영하는 과정이 필요합니다. 학습 습관을 만들 때는 배운 내용을 자신의 말로 설명하고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 이와 같은 과정을 다음 계획에 구체적으로 반영하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_018|body_general_097|body_general_043|body_english_math_001|body_general_071|body_general_019|ending_002,description_general_013|description_general_017|description_general_056|description_general_002,body_english_math|body_general|description_general|endings|openings,title_pattern_010,학습 기록을 다음 계획으로 연결하는,과목별 접근법을 안내합니다,subject_only,월성동|영수|과외,0
keyword_combination,region,대전광역시,서구,,,서구,,,초등,,false,초등학생,국영수과외,서구 초등과외,서구초등과외,서구 초등과외 시험 대비 흐름을 점검합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서구 초등과외를 살펴볼 때에는 학습 계획은 주간 목표와 실제 결과를 비교하고 스스로 설명하는 시간을 더하면 이해가 선명해집니다. 학습 계획은 틀린 이유를 짧게 설명해 보고 다음 단계로 연결하는 방식이 좋습니다. 학습 계획은 하루에 실천할 분량을 구체적으로 정하고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 학습 계획은 주간 목표와 실제 결과를 비교하고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,서구 초등과외를 알아볼 때에는 효율적인 공부 흐름을 만들려면 목표와 사용할 시간을 구체적으로 연결하고 점검 기준을 세우는 데 있습니다. 오답을 관리할 때는 현재 가능한 분량부터 정하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 초등학생은 집중할 분량과 쉬는 시간을 함께 정하고 반복할 내용을 스스로 고르게 하면 참여도가 높아집니다. 복습을 진행할 때는 짧은 목표를 세운 뒤 결과를 기록하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 학습 습관을 만들 때는 이해한 내용과 어려운 내용을 구분하고 다음 공부에 반영하는 과정이 필요합니다. 오답을 관리할 때는 배운 내용을 자신의 말로 설명하고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 스스로 세운 계획을 현재 수준에 맞게 조금씩 조정하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_024|body_general_103|body_elementary_022|body_general_062|body_general_006|body_general_119|ending_016,description_general_038|description_general_011|description_general_007|description_general_039,body_elementary|body_general|description_general|endings|openings,title_pattern_025,문제 해결 과정을 근거부터 확인하는,시험 대비 흐름을 점검합니다,grade_only,서구|초등|과외,0
keyword_combination,region,부산광역시,연제구,,,연제구,,,초등학생,,false,초등학생,국영수과외,연제구 초등학생과외,연제구초등학생과외,연제구 초등학생과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,연제구 초등학생과외를 살펴볼 때에는 복습 과정은 현재 이해한 범위를 먼저 확인하고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 학습 계획은 풀이 과정의 근거를 확인하고 반복 시점을 정해 두면 학습 공백을 줄일 수 있습니다. 복습 과정은 공부한 내용을 기억에서 꺼내 보고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 현재 이해한 범위를 먼저 확인하고 기록을 남기면 다음 계획의 기준이 분명해집니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,연제구 초등학생과외를 알아볼 때에는 공부의 출발점은 실천할 수 있는 분량과 순서를 정하고 점검 기준을 세우는 데 있습니다. 오답을 관리할 때는 중요한 개념을 서로 연결하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 초등학생은 완료한 공부를 눈에 보이게 기록하고 작은 성취를 자주 확인하는 방식이 알맞습니다. 학습 습관을 만들 때는 배운 내용을 자신의 말로 설명하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 오답을 관리할 때는 이해한 내용과 어려운 내용을 구분하고 무리하지 않는 범위에서 반복하는 편이 안정적입니다. 오답을 관리할 때는 문제의 조건과 요구 사항을 구분하고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 작게 나눈 목표를 다음 계획에 구체적으로 반영하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_002|body_general_142|body_elementary_017|body_general_020|body_general_107|body_general_150|ending_032,description_general_044|description_general_034|description_general_057|description_general_045,body_elementary|body_general|description_general|endings|openings,title_pattern_028,개념과 문제풀이를 함께 보는,학습 기준을 정리합니다,grade_only,연제구|초등학생|과외,0
keyword_combination,region,서울특별시,중구,신당동,,신당동,,,중등,,false,중학생,국영수과외,신당동 중등과외,신당동중등과외,신당동 중등과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,신당동 중등과외를 살펴볼 때에는 학습 계획은 틀린 이유를 짧게 설명해 보고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 학습 계획은 모르는 부분을 질문으로 바꾸고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 복습 과정은 모르는 부분을 질문으로 바꾸고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 학습 계획은 주간 목표와 실제 결과를 비교하고 다음 단계로 연결하는 방식이 좋습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,신당동 중등과외를 알아볼 때에는 목표에 맞는 학습을 준비하려면 실천할 수 있는 분량과 순서를 정하고 점검 기준을 세우는 데 있습니다. 오답을 관리할 때는 질문의 핵심을 한 문장으로 적고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 중등 과정에서는 풀이와 답의 근거를 문장으로 정리하고 취약 단원을 주간 계획에 다시 배치할 수 있습니다. 오답을 관리할 때는 질문의 핵심을 한 문장으로 적고 다음 공부에 반영하는 과정이 필요합니다. 복습을 진행할 때는 실수의 원인을 유형별로 나누고 정해진 시점에 다시 확인하면 기억을 오래 유지하는 데 도움이 됩니다. 복습을 진행할 때는 현재 가능한 분량부터 정하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 이와 같은 과정을 무리하지 않는 범위에서 이어가면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_037|body_general_140|body_middle_046|body_general_136|body_general_075|body_general_053|ending_005,description_general_012|description_general_022|description_general_062|description_general_036,body_general|body_middle|description_general|endings|openings,title_pattern_017,이해와 적용의 순서를 분명하게 잡는,과목별 접근법을 안내합니다,grade_only,신당동|중등|과외,0
keyword_combination,region,세종특별자치시,,,,세종특별자치시,,,중학생,,false,중학생,국영수과외,세종특별자치시 중학생과외,세종특별자치시중학생과외,세종특별자치시 중학생과외 복습 주기와 학습량을 함께 조절하는 학습 기록을 활용하는 방법을 정리합니다,세종특별자치시 중학생과외를 살펴볼 때에는 학습 계획은 모르는 부분을 질문으로 바꾸고 작은 단위로 조정하면 꾸준히 이어가기 쉽습니다. 학습 계획은 모르는 부분을 질문으로 바꾸고 기록을 남기면 다음 계획의 기준이 분명해집니다. 복습 과정은 풀이 과정의 근거를 확인하고 다음 단계로 연결하는 방식이 좋습니다. 복습 과정은 틀린 이유를 짧게 설명해 보고 다음 단계로 연결하는 방식이 좋습니다. 학습한 내용과 실제 수행 결과를 비교하면 다음 공부의 우선순위를 더 구체적으로 정할 수 있습니다.,세종특별자치시 중학생과외를 알아볼 때에는 과외 학습의 방향을 세울 때는 과목별 습관과 오답의 원인을 살피고 점검 기준을 세우는 데 있습니다. 복습을 진행할 때는 문제의 조건과 요구 사항을 구분하고 다음 공부에 반영하는 과정이 필요합니다. 중학생은 오답의 근거를 교과서에서 다시 찾고 누적 복습 시간을 확보하는 것이 좋습니다. 학습 습관을 만들 때는 질문의 핵심을 한 문장으로 적고 다음 공부에 반영하는 과정이 필요합니다. 오답을 관리할 때는 실수의 원인을 유형별로 나누고 조금씩 기준을 높이면 학습 리듬을 유지할 수 있습니다. 학습 습관을 만들 때는 배운 내용을 자신의 말로 설명하고 완료 여부보다 이해 과정을 살피는 것이 중요합니다. 점검한 오답 내용을 다음 계획에 구체적으로 반영하면 꾸준한 학습 흐름을 만드는 데 도움이 됩니다.,opening_018|body_general_096|body_middle_013|body_general_036|body_general_124|body_general_018|ending_037,description_general_022|description_general_025|description_general_071|description_general_051,body_general|body_middle|description_general|endings|openings,title_pattern_015,복습 주기와 학습량을 함께 조절하는,학습 기록을 활용하는 방법을 정리합니다,grade_only,세종특별자치시|중학생|과외,0
